日付,始値,高値,安値,終値,出来高,終値調整
2020-03-18,2502,2528,2416,2431,45600,2431
2020-03-17,2289,2467,2250,2456,72200,2456
2020-03-16,2339,2383,2290,2296,64000,2296
2020-03-13,2255,2326,2202,2289,96800,2289
2020-03-12,2505,2505,2403,2446,56300,2446
2020-03-11,2533,2568,2523,2526,39900,2526
2020-03-10,2410,2543,2373,2521,73500,2521
2020-03-09,2575,2580,2502,2508,70300,2508
2020-03-06,2620,2639,2606,2606,37600,2606
2020-03-05,2657,2731,2621,2625,29600,2625
2020-03-04,2628,2649,2601,2614,27500,2614
2020-03-03,2749,2749,2627,2628,43500,2628
2020-03-02,2562,2690,2554,2660,50400,2660
2020-02-28,2610,2623,2576,2579,56100,2579
2020-02-27,2727,2727,2676,2676,38600,2676
2020-02-26,2709,2727,2693,2719,33500,2719
2020-02-25,2750,2750,2687,2719,57000,2719
2020-02-21,2798,2810,2796,2798,13500,2798
2020-02-20,2850,2850,2800,2800,25500,2800
2020-02-19,2815,2840,2815,2825,11400,2825
2020-02-18,2855,2855,2810,2815,27500,2815
2020-02-17,2860,2861,2835,2844,16500,2844
2020-02-14,2860,2874,2841,2874,19900,2874
2020-02-13,2884,2890,2856,2859,22800,2859
2020-02-12,2909,2923,2883,2883,22500,2883
2020-02-10,2885,2909,2885,2904,15700,2904
2020-02-07,2887,2895,2871,2888,13100,2888
2020-02-06,2872,2898,2872,2882,18200,2882
2020-02-05,2877,2892,2866,2872,17700,2872
2020-02-04,2824,2860,2821,2860,11400,2860
2020-02-03,2830,2835,2800,2825,25000,2825
2020-01-31,2845,2856,2839,2839,12300,2839
2020-01-30,2862,2862,2808,2824,44700,2824
2020-01-29,2864,2874,2863,2868,9600,2868
2020-01-28,2865,2875,2847,2863,27800,2863
2020-01-27,2880,2890,2858,2870,17400,2870
2020-01-24,2912,2914,2885,2885,18700,2885
2020-01-23,2932,2939,2909,2911,19400,2911
2020-01-22,2943,2948,2934,2936,13000,2936
2020-01-21,2950,2950,2936,2943,9800,2943
2020-01-20,2948,2948,2935,2942,14200,2942
2020-01-17,2945,2947,2934,2937,17000,2937
2020-01-16,2925,2947,2925,2936,13100,2936
2020-01-15,2910,2937,2899,2935,29300,2935
2020-01-14,2930,2931,2912,2913,15900,2913
2020-01-10,2940,2942,2924,2932,11600,2932
2020-01-09,2911,2949,2911,2933,31500,2933
2020-01-08,2892,2908,2855,2903,30300,2903
2020-01-07,2864,2907,2864,2898,30300,2898
2020-01-06,2860,2873,2851,2862,25700,2862
"
",,,,,,
